76641	76642
7905	76643
76644	76645
76646	27282
41153	76647
41066	17682
76648	10856
41153	76649
76650	76651
76648	6342
76652	76653
76652	76654
37628	76655
11549	76656
76648	31526
41153	76657
17682	41066
76658	76659
76660	76661
76660	76662
76663	76654
17682	16679
76660	76664
76665	76666
17682	23759
76666	76667
11549	76668
76658	11549
76643	76669
76666	76670
56303	22121
76663	76671
11549	76672
76669	7905
76652	76673
13503	6548
76669	7904
41153	76674
37628	76675
76650	76676
76658	76656
76675	76655
13534	76677
76678	18788
76679	76680
76681	76682
76679	32564
76679	76683
76684	76682
76684	76685
76673	76686
76682	76681
